,Value
1819,130.0
1820,135.0
1821,109.0
1822,69.0
1823,45.0
1824,41.0
1825,48.0
1826,37.0
1827,46.0
1828,38.0
1829,37.0
1830,55.0
1831,57.0
1832,80.0
1833,62.0
1834,80.0
1835,71.0
1836,70.0
1837,65.0
1838,63.0
1839,62.0
1840,67.0
1841,57.0
1842,74.0
1843,83.0
1844,100.0
1845,120.0
1846,147.0
1847,122.0
1848,141.0
1849,146.0
1850,135.0
1851,127.0
1852,116.0
1853,124.0
1854,130.0
1855,125.0
1856,116.0
1857,118.0
1858,100.0
1859,63.0
1860,60.0
1861,59.0
1862,52.0
1863,55.0
1864,59.0
1865,57.0
1866,59.0
1867,48.0
1868,46.0
1869,44.0
1870,52.0
1871,53.0
1872,56.0
1873,56.0
1874,65.0
1875,69.0
1876,73.0
1877,107.0
1878,116.0
1879,112.0
1880,163.0
1881,116.0
1882,71.0
1883,59.0
1884,63.0
1885,68.0
1886,46.0
1887,45.0
1888,37.0
1889,38.0
1890,40.0
1891,36.0
1892,38.0
1893,35.0
1894,33.0
1895,36.0
1896,27.0
1897,16.0
1898,19.0
1899,21.0
1900,23.0
1901,24.0
1902,27.0
1903,24.0
1904,21.0
1905,23.0
1906,19.0
1907,28.0
1908,35.0
1909,30.0
1910,34.0
1911,22.0
1912,33.0
1913,40.0
1914,36.0
1915,38.0
1916,37.0
1917,33.0
1918,28.0
1919,25.0
1920,25.0
1921,31.0
1922,35.0
1923,37.0
1924,42.0
1925,44.0
1926,51.0
1927,48.0
1928,50.0
1929,63.0
1930,75.0
1931,80.0
1932,91.0
1933,106.0
1934,101.0
1935,134.0
1936,137.0
1937,139.0
1938,114.0
1939,111.0
1940,87.0
1941,75.0
1942,61.0
1943,61.0
1944,52.0
1945,55.0
1946,52.0
1947,52.0
1948,52.0
1949,59.0
1950,57.0
1951,59.0
1952,59.0
1953,61.0
1954,63.0
1955,68.0
1956,70.0
1957,76.0
1958,73.0
1959,76.0
1960,65.0
1961,69.0
1962,81.0
1963,77.0
1964,82.0
1965,78.0
1966,61.0
1967,64.0
1968,61.0
1969,63.0
1970,63.0
1971,72.0
1972,80.0
1973,75.0
1974,65.0
1975,78.0
1976,70.0
1977,77.0
1978,86.0
1979,80.0
1980,79.0
1981,70.0
1982,72.0
1983,58.0
1984,72.0
1985,70.0
1986,71.0
1987,81.0
1988,78.0
1989,81.0
1990,70.0
1991,67.0
1992,69.0
1993,58.0
1994,60.0
1995,60.0
1996,60.0
1997,58.0
1998,60.0
1999,57.0
2000,50.0
2001,41.0
2002,42.0
2003,38.0
2004,31.0
2005,24.0
2006,23.0
2007,23.0
2008,19.0
2009,22.0
2010,29.0
2011,33.0
2012,31.0
2013,26.0
2014,19.0
2015,18.0
2016,18.0
2017,16.0
2018,15.0
2019,22.0
2020,13.0
2021,20.0
2022,18.0
2023,19.0
2024,20.0
2025,17.0
2026,20.0
2027,15.0
2028,17.0
2029,19.0
2030,17.0
2031,16.0
2032,19.0
2033,22.0
2034,26.0
2035,31.0
2036,34.0
2037,27.0
2038,37.0
2039,31.0
2040,31.0
2041,32.0
2042,30.0
2043,31.0
2044,31.0
2045,34.0
2046,45.0
2047,50.0
2048,49.0
2049,45.0
2050,45.0
2051,57.0
2052,61.0
2053,71.0
2054,76.0
2055,71.0
2056,73.0
2057,75.0
2058,65.0
2059,68.0
2060,71.0
2061,95.0
2062,107.0
2063,92.0
2064,70.0
2065,64.0
2066,66.0
2067,67.0
2068,76.0
2069,81.0
2070,75.0
2071,70.0
2072,81.0
2073,103.0
2074,90.0
2075,91.0
2076,101.0
2077,97.0
2078,87.0
2079,91.0
2080,85.0
2081,88.0
2082,85.0
2083,77.0
2084,64.0
2085,64.0
2086,56.0
2087,48.0
2088,47.0
2089,39.0
2090,32.0
2091,57.0
2092,76.0
2093,80.0
2094,92.0
2095,74.0
2096,73.0
2097,78.0
2098,52.0
2099,38.0
2100,37.0
2101,28.0
2102,31.0
2103,29.0
2104,32.0
2105,40.0
2106,36.0
2107,38.0
2108,39.0
2109,34.0
2110,32.0
2111,32.0
2112,23.0
2113,16.0
2114,23.0
2115,22.0
2116,20.0
2117,22.0
2118,16.0
2119,19.0
2120,21.0
2121,22.0
2122,25.0
2123,28.0
2124,28.0
2125,24.0
2126,29.0
2127,34.0
2128,38.0
2129,43.0
2130,39.0
2131,32.0
2132,36.0
2133,35.0
2134,30.0
2135,38.0
