,Value,3exp_add,3exp_mul
18458,23.0,25.98893875068389,24.055700121036978
18459,32.0,25.436446721613166,25.667262395547343
18460,37.0,35.935187782300126,31.53080158322049
18461,50.0,38.48873735908533,34.526967433947476
18462,73.0,48.65985212734294,42.604644887542705
18463,55.0,69.79537730563817,60.336057463194614
18464,55.0,47.54314562406482,53.235911843788806
18465,57.0,46.425461972693824,50.7254097102523
18466,58.0,49.01248391520708,56.63807967088782
18467,60.0,51.922098613195615,56.62735882524455
18468,57.0,55.79253043062407,57.481477284744095
18469,63.0,51.54705166874672,56.144545695919895
18470,58.0,62.17576204245657,64.75075255832256
18471,53.0,62.841633867239416,64.13408717391815
18472,53.0,58.07511446182527,61.21665706358768
18473,48.0,55.852474200343536,58.8185495878171
18474,40.0,48.95564798282711,54.05364980745817
18475,32.0,41.94030033943362,44.7891720865195
18476,33.0,34.33609603802393,34.63692901924251
18477,36.0,36.0729844643685,32.25402859192661
18478,42.0,35.48903937432395,34.86498869814211
18479,39.0,38.699198468872865,41.96213620721635
18480,35.0,39.36313556950659,39.668925856621506
18481,51.0,43.28232535983517,41.30051143413
18482,57.0,52.53797235689149,53.34305641876939
18483,68.0,52.82659723300388,61.81175069012765
18484,71.0,62.826114651020774,65.52922293047887
18485,76.0,68.86773114756119,66.59161657733118
18486,75.0,73.88282440609454,89.09601324703067
18487,59.0,79.98576042576624,89.47650255624899
18488,45.0,67.12258401469505,66.19685492676535
18489,43.0,49.96188370407246,47.30335803791455
18490,54.0,43.857209431044005,45.769218627992636
18491,64.0,48.37437476713087,47.59826959087341
18492,63.0,57.83370735056391,55.25387938928311
18493,56.0,59.28240116078086,57.7857049706161
18494,48.0,51.18780575819448,52.164243755427954
18495,43.0,45.25933963351737,48.576980494124584
18496,41.0,41.62917597356852,43.97902406370853
18497,33.0,40.81851322398735,43.6248813789897
18498,35.0,36.168819602118646,39.56988046266801
18499,31.0,36.0917668162914,38.922402453396195
18500,28.0,30.658259279648757,31.973531374634728
18501,26.0,27.135787714823596,27.820844167032394
18502,27.0,24.764895394295806,26.77027431921872
18503,25.0,28.029694243411235,26.757526671614396
18504,23.0,24.902735122003904,24.146801051748376
18505,26.0,17.7930757544109,22.35781575499655
18506,30.0,27.783016488513518,27.779252905662723
18507,31.0,27.82903498351572,29.521077107529695
18508,29.0,31.20765512221684,31.816816615119
18509,28.0,27.349953156325576,30.0482713964568
18510,32.0,29.427613234476365,31.020403530587213
18511,35.0,33.98502336955008,34.71458029332238
18512,38.0,32.650302221036654,34.233178978780636
18513,35.0,38.01521083819604,40.046001176561376
18514,37.0,33.617348786150416,33.179813480870735
18515,40.0,36.1493742690629,37.43781409518
18516,42.0,42.14601265378984,44.39302938193445
18517,40.0,45.559564868156286,44.932565190931484
18518,41.0,41.606209948070735,43.18975919005302
18519,38.0,40.571615021197324,45.13407747262094
18520,33.0,40.35257960718998,40.79575733184882
18521,31.0,34.0344187579624,38.64360477310964
18522,35.0,33.33412776620828,34.9254447532784
18523,32.0,38.10032243276473,39.364385160209906
18524,27.0,35.49006083084108,37.02588370720743
18525,28.0,35.99279578100066,30.58070545846481
18526,30.0,31.605716897971707,30.146971061937418
18527,32.0,33.67734999138776,29.428386715277238
18528,21.0,28.139964867024787,27.51194294121023
18529,31.0,25.34855993251322,23.450045770281974
18530,29.0,22.50447749437383,27.249135915769127
18531,28.0,21.894172399489996,23.044115321623238
18532,31.0,22.53440982974938,23.964204635640744
18533,34.0,28.78810391011568,28.625736513960632
18534,39.0,41.87454893430461,32.46665337282257
18535,48.0,-0.23610581122067487,35.15122236467971
18536,55.0,59.674960955431715,54.082240566820964
18537,52.0,58.854767142499796,58.57214492803626
18538,45.0,49.15545031735051,53.812606085595164
18539,40.0,39.70193341342504,47.82172626197479
18540,43.0,38.07444102514694,41.156885311916014
18541,33.0,42.01054722835025,41.78130895437613
18542,42.0,33.73364766719266,35.78407346876192
18543,52.0,42.445799018250455,43.322591686209655
18544,52.0,56.270257166393435,56.714425315812285
18545,56.0,60.684271462454156,59.44318952651994
18546,47.0,52.98433726567315,61.93444767642731
18547,32.0,54.312942042250256,57.92112079028087
18548,40.0,36.77476824101913,41.34296925900694
18549,34.0,41.114421213517474,41.972240640773805
18550,32.0,39.980925025475365,39.62982380254748
18551,29.0,34.89326136445897,35.246891591843564
18552,37.0,44.02504762316152,33.972035536312866
18553,24.0,25.24125906543818,39.70042352002772
18554,30.0,37.605337998264076,27.283622029491255
