Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,QC 
Shanghai,PM2.5,1/15/2017 9:00,2017,1,15,9,16,Valid
Shanghai,PM2.5,1/15/2017 10:00,2017,1,15,10,12,Valid
Shanghai,PM2.5,1/15/2017 11:00,2017,1,15,11,19,Valid
Shanghai,PM2.5,1/15/2017 12:00,2017,1,15,12,20,Valid
Shanghai,PM2.5,1/15/2017 13:00,2017,1,15,13,13,Valid
Shanghai,PM2.5,1/15/2017 14:00,2017,1,15,14,12,Valid
Shanghai,PM2.5,1/15/2017 15:00,2017,1,15,15,15,Valid
Shanghai,PM2.5,1/15/2017 16:00,2017,1,15,16,24,Valid
Shanghai,PM2.5,1/15/2017 17:00,2017,1,15,17,22,Valid
Shanghai,PM2.5,1/15/2017 18:00,2017,1,15,18,19,Valid
Shanghai,PM2.5,1/15/2017 19:00,2017,1,15,19,24,Valid
Shanghai,PM2.5,1/15/2017 20:00,2017,1,15,20,18,Valid
Shanghai,PM2.5,1/15/2017 21:00,2017,1,15,21,26,Valid
Shanghai,PM2.5,1/15/2017 22:00,2017,1,15,22,27,Valid
Shanghai,PM2.5,1/15/2017 23:00,2017,1,15,23,24,Valid
Shanghai,PM2.5,1/16/2017 0:00,2017,1,16,0,23,Valid
Shanghai,PM2.5,1/16/2017 1:00,2017,1,16,1,26,Valid
Shanghai,PM2.5,1/16/2017 2:00,2017,1,16,2,22,Valid
