,Value
1382,39.0
1383,39.0
1384,39.0
1385,39.0
1386,37.9
1387,37.0
1388,37.0
1389,37.0
1390,37.0
1391,36.0
1392,36.0
1393,35.1
1394,35.1
1395,34.0
1396,33.1
1397,32.0
1398,30.9
1399,30.0
1400,28.9
1401,28.0
1402,27.0
1403,28.9
1404,28.9
1405,30.0
1406,32.0
1407,32.0
1408,35.1
1409,35.1
1410,35.1
1411,35.1
1412,33.1
1413,32.0
1414,30.9
1415,30.0
1416,28.9
1417,28.0
1418,28.0
1419,27.0
1420,26.1
1421,25.0
1422,25.0
1423,24.1
1424,25.0
1425,25.0
1426,27.0
1427,28.9
1428,30.9
1429,32.0
1430,35.1
1431,36.0
1432,35.1
1433,35.1
1434,35.1
1435,34.0
1436,35.1
1437,36.0
1438,37.0
1439,37.9
1440,37.9
1441,37.9
1442,37.9
1443,39.0
1444,39.0
1445,39.0
1446,39.9
1447,41.0
1448,41.0
1449,43.0
1450,43.0
1451,43.0
1452,43.0
1453,44.1
1454,45.0
1455,48.9
1456,52.0
1457,55.0
1458,57.0
1459,57.9
1460,61.0
1461,61.0
1462,60.1
1463,59.0
1464,57.9
1465,57.0
1466,55.0
1467,54.0
1468,54.0
1469,54.0
1470,54.0
1471,52.0
1472,52.0
1473,50.0
1474,50.0
1475,51.1
1476,50.0
1477,51.1
1478,51.1
1479,52.0
1480,53.1
1481,53.1
1482,53.1
1483,54.0
1484,55.0
1485,54.0
1486,54.0
1487,53.1
1488,50.0
1489,51.1
1490,48.9
1491,46.9
1492,46.0
1493,45.0
1494,44.1
1495,43.0
1496,42.1
1497,39.9
1498,39.9
1499,39.0
1500,37.9
1501,39.9
1502,42.1
1503,43.0
1504,44.1
1505,46.9
1506,48.9
1507,51.1
1508,51.1
1509,52.0
1510,51.1
1511,48.9
1512,44.1
1513,44.1
1514,45.0
1515,41.0
1516,41.0
1517,39.0
1518,37.9
1519,37.0
1520,36.0
1521,36.0
1522,36.0
1523,37.0
1524,37.0
1525,37.0
1526,37.9
1527,39.0
1528,39.0
1529,39.0
1530,39.0
1531,39.0
1532,37.9
1533,37.0
1534,37.0
1535,37.0
1536,37.0
1537,36.0
1538,36.0
1539,36.0
1540,36.0
1541,35.1
1542,35.1
1543,35.1
1544,35.1
1545,35.1
1546,35.1
1547,35.1
1548,35.6
1549,35.1
1550,35.1
1551,35.1
1552,35.1
1553,35.1
1554,35.1
1555,36.0
1556,36.0
1557,36.0
1558,36.0
1559,36.0
1560,36.0
1561,37.0
1562,37.0
1563,37.0
1564,37.0
1565,37.0
1566,37.9
1567,37.9
1568,37.9
1569,37.9
1570,37.9
1571,37.4
1572,37.9
1573,37.9
1574,37.9
1575,37.9
1576,37.9
1577,37.9
1578,37.9
1579,37.9
1580,39.2
1581,39.0
1582,39.0
1583,39.9
1584,39.9
1585,39.9
1586,39.9
1587,41.0
1588,41.0
1589,41.0
1590,41.0
1591,42.1
1592,41.0
1593,42.1
1594,42.1
1595,43.0
1596,43.0
1597,43.0
1598,44.1
1599,45.0
1600,45.0
1601,46.0
